DATE,AIRCRAFT MAKE & MODEL,AIRCRAFT IDENT,ROUTE OF FLIGHT,LEGS,DURATION,LANDINGS DAY,LANDINGS NIGHT,NIGHT,INSTRUMENT,APPROACHES & TYPE,CROSS COUNTRY,SECOND IN COMMAND,PILOT IN COMMAND,SIMULATED INSTRUMENT,INSTRUCTOR,DUAL,REMARKS,SIMULATOR,SOLO,FLIGHT COST,EXPENSES
5/22/2006,C152,67503,AXH-AXH,1,1.5,12,,,,,,,1.5,,1.5,,,,,,
5/22/2006,C172,5013R,AXH-AXH,1,1.4,3,,,,,,,1.4,,1.4,,,,,,
5/23/2006,C172,5013R,AXH-AXH,1,1.4,4,,,,,,,1.4,,1.4,,,,,,
5/23/2006,C152,67503,AXH-GLS-IWS-AXH,1,2.5,1,1,1.5,,4,2.5,,2.5,,2.5,,,,,,
5/24/2006,C152,67503,AXH-LBX-AXH,1,1.5,3,,,,2,,,1.5,,1.5,,,,,,
5/26/2006,C152,67503,AXH-GLS-AXH,1,2.3,4,,,1.5,3,,,2.3,,2.3,,,,,,
5/28/2006,C172,5013R,AXH-AXH,1,1.7,9,,,,4,,,1.7,,1.7,,,,,,
5/29/2006,C152,67503,AXH-AXH,1,0.4,1,,,,,,,0.4,,0.4,,,,,,
6/3/2006,C152,67503,AXH-AXH,1,1.5,2,,,,,,,1.5,,1.5,,,,,,
6/4/2006,C172,5013R,AXH-11R-AXH,1,2.5,4,,,,,2.5,,2.5,,2.5,,,,,,
6/4/2006,C152,67503,AXH-AXH,1,1.7,2,,,,,,,1.7,,1.7,,,,,,
6/6/2006,C152,67503,AXH-LBX-AXH,1,1.5,2,,,,2,,,1.5,,1.5,,,,,,
6/6/2006,C152,67503,AXH-HOU-SGR-AXH,1,1.3,1,7,1.3,,,,,1.3,,1.3,,,,,,
6/7/2006,C172,5013R,AXH-CLL-AXH,1,2.3,2,,,,,2.3,,2.3,,2.3,,,,,,
6/10/2006,C152,67503,AXH-PSX-AXH,1,2.1,1,,,1,1,2.1,,2.1,,2.1,,,,,,
6/11/2006,C152,67503,AXH-LFK-CLL-SGR-AXH,1,4.5,3,,,2.5,3,4.5,,4.5,,4.5,,,,,,
6/11/2006,C172,5013R,AXH-SGR-AXH,1,0.7,4,,,,,,,0.7,,0.7,,,,,,
6/25/2006,C172,5013R,AXH-GLS-AXH,1,1.6,8,,,,,,,1.6,,1.6,,,,,,
6/25/2006,PA28R-200,3023K,AXH-3R9-AXH,1,2.7,2,,,,,2.7,,2.7,,2.7,,,,,,
6/26/2006,C172,5013R,AXH-AXH,1,1.8,7,,,,,,,1.8,,1.8,,,,,,
6/26/2006,C152,67503,AXH-LBX-SGR-AXH,1,1.9,2,,,,3,,,1.9,,1.9,,,,,,
6/29/2006,C172,5013R,AXH-AXH,1,1.8,10,,,,,,,1.8,,1.8,,,,,,
6/30/2006,C152,67503,AXH-AXH,1,1.7,9,,,,,,,1.7,,1.7,,,,,,
7/1/2006,C152,67503,AXH-AUS-CLL-IWS-SGR-AXH,1,4.8,3,,,0.6,4,4.8,,4.8,,4.8,,,,,,
7/1/2006,C172,5013R,AXH-AXH,1,1.3,1,,,,,,,1.3,,1.3,,,,,,
7/4/2006,C172,5013R,AXH-AXH,1,1,9,,,,,,,1,,1,,,,,,
7/6/2006,C172,5013R,AXH-AXH,1,1.6,2,,,,2,,,1.6,,1.6,,,,,,
7/7/2006,C152,67503,AXH-LBX-AXH,1,1.5,3,,,,,,,1.5,,1.5,,,,,,
7/8/2006,C152,67503,AXH-SGR-AXH,1,2.9,14,,,,,,,2.9,,2.9,,,,,,
7/9/2006,C210,4900T,AXH-AXH,1,2,1,,,,,,,2,,2,,,,,,
7/9/2006,C152,67503,AXH-AXH,1,1.4,4,,,,,,,1.4,,1.4,,,,,,
7/9/2006,C210,1819F,AXH-ERV-AXH,1,3.5,2,,,,,3.5,,3.5,,3.5,,,,,,
7/10/2006,C152,67503,AXH-AXH,1,1.5,6,,,,,,,1.5,,1.5,,,,,,
7/10/2006,C152,67503,AXH-AXH,1,1.3,5,,,,,,,1.3,,1.3,,,,,,
7/12/2006,C152,67503,AXH-AXH,1,1.1,1,,,,,,,1.1,,1.1,,,,,,
7/12/2006,C172,5013R,AXH-66R-AXH,1,1.6,2,,,,,,,1.6,,1.6,,,,,,
7/13/2006,C152,67503,AXH-AXH,1,1.1,5,,,,,,,1.1,,1.1,,,,,,
7/13/2006,C172,5013R,AXH-LBX-AXH,1,1.6,4,,,,,,,1.6,,1.6,,,,,,
7/13/2006,C172,5013R,AXH-VCT-AXH,1,2.4,1,1,2.4,,,2.4,,2.4,,2.4,,,,,,
